council,randage,ethnicity,simd,urban_rural,household_type,gender,tenure,greenspace,neighbourhood_rating,community_belonging
A,48,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
A,67,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,75,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
A,63,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,72,White,4,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,72,White,4,Urban,Pensioner,Female,Social Rented,5 mins or less,Very good,Very strongly
A,55,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,26,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,16,White,5,Urban,Children,Female,Owned Loan/Mortgage,More than 30,Very good,Fairly strongly
A,34,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,62,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
A,44,White,3,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,53,White,5,Urban,Adult,Male,Social Rented,Don't know,Fairly good,Not at all strongly
A,76,White,4,Urban,Adult,Male,Owned Loan/Mortgage,Don't know,Fairly good,Not very strongly
A,52,White,4,Urban,Adult,Male,Social Rented,More than 30,Very good,Very strongly
A,35,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,51,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
A,44,White,4,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,53,White,2,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not very strongly
A,67,White,2,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
A,27,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,49,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,79,White,5,Urban,Pensioner,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,23,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
A,26,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly poor,Not very strongly
A,18,White,5,Urban,Children,Female,Social Rented,5 mins or less,Fairly poor,Fairly strongly
A,83,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,70,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,50,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
A,75,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
