feature_code,year,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace,score
S12000005,2013,All,All,20% most deprived,All,All,All,All,0.21
S12000005,2013,All,All,80% least deprived,All,All,All,All,0.34500000000000003
S12000005,2013,All,All,All,All,Adults,All,All,0.265
S12000005,2013,All,All,All,All,All,All,All,0.315
S12000005,2013,All,All,All,All,All,All,Less than 10 minutes,0.35500000000000004
S12000005,2013,All,All,All,All,All,White,All,0.325
S12000005,2013,All,All,All,All,Pensioners,All,All,0.415
S12000005,2013,All,All,All,All,With Children,All,All,0.32499999999999996
S12000005,2013,All,All,All,Owned Mortgage/Loan,All,All,All,0.31999999999999995
S12000005,2013,All,All,All,Owned Outright,All,All,All,0.37
S12000005,2013,All,All,All,Social Rented,All,All,All,0.30000000000000004
S12000005,2013,All,Urban,All,All,All,All,All,0.285
S12000005,2013,Female,All,All,All,All,All,All,0.3
S12000005,2013,Male,All,All,All,All,All,All,0.32999999999999996
S12000005,2014,All,All,20% most deprived,All,All,All,All,0.35500000000000004
S12000005,2014,All,All,80% least deprived,All,All,All,All,0.38
S12000005,2014,All,All,All,All,Adults,All,All,0.33999999999999997
S12000005,2014,All,All,All,All,All,All,All,0.385
S12000005,2014,All,All,All,All,All,All,Less than 10 minutes,0.385
S12000005,2014,All,All,All,All,All,White,All,0.38999999999999996
S12000005,2014,All,All,All,All,Pensioners,All,All,0.48
S12000005,2014,All,All,All,All,With Children,All,All,0.355
S12000005,2014,All,All,All,Owned Mortgage/Loan,All,All,All,0.45499999999999996
S12000005,2014,All,All,All,Owned Outright,All,All,All,0.46
S12000005,2014,All,All,All,Social Rented,All,All,All,0.275
S12000005,2014,All,Urban,All,All,All,All,All,0.38
S12000005,2014,Female,All,All,All,All,All,All,0.405
S12000005,2014,Male,All,All,All,All,All,All,0.36
S12000005,2015,All,All,20% most deprived,All,All,All,All,0.5
S12000005,2015,All,All,80% least deprived,All,All,All,All,0.42000000000000004
S12000005,2015,All,All,All,All,Adults,All,All,0.42
S12000005,2015,All,All,All,All,All,All,All,0.435
S12000005,2015,All,All,All,All,All,All,Less than 10 minutes,0.435
S12000005,2015,All,All,All,All,All,White,All,0.44499999999999995
S12000005,2015,All,All,All,All,Pensioners,All,All,0.565
S12000005,2015,All,All,All,All,With Children,All,All,0.35500000000000004
S12000005,2015,All,All,All,Owned Mortgage/Loan,All,All,All,0.39
S12000005,2015,All,All,All,Owned Outright,All,All,All,0.535
S12000005,2015,All,All,All,Social Rented,All,All,All,0.48
S12000005,2015,All,Urban,All,All,All,All,All,0.44
S12000005,2015,Female,All,All,All,All,All,All,0.415
S12000005,2015,Male,All,All,All,All,All,All,0.47000000000000003
S12000005,2016,All,All,20% most deprived,All,All,All,All,0.32999999999999996
S12000005,2016,All,All,80% least deprived,All,All,All,All,0.45499999999999996
S12000005,2016,All,All,All,All,Adults,All,All,0.41000000000000003
S12000005,2016,All,All,All,All,All,All,All,0.43000000000000005
S12000005,2016,All,All,All,All,All,All,Less than 10 minutes,0.45
S12000005,2016,All,All,All,All,All,White,All,0.44000000000000006
S12000005,2016,All,All,All,All,Pensioners,All,All,0.5349999999999999
S12000005,2016,All,All,All,All,With Children,All,All,0.37
S12000005,2016,All,All,All,Owned Mortgage/Loan,All,All,All,0.44499999999999995
S12000005,2016,All,All,All,Owned Outright,All,All,All,0.48
S12000005,2016,All,All,All,Social Rented,All,All,All,0.4
S12000005,2016,All,Urban,All,All,All,All,All,0.42000000000000004
S12000005,2016,Female,All,All,All,All,All,All,0.52
S12000005,2016,Male,All,All,All,All,All,All,0.32
S12000005,2017,All,All,20% most deprived,All,All,All,All,0.38
S12000005,2017,All,All,80% least deprived,All,All,All,All,0.46
S12000005,2017,All,All,All,All,Adults,All,All,0.38
S12000005,2017,All,All,All,All,All,All,All,0.445
S12000005,2017,All,All,All,All,All,All,Less than 10 minutes,0.445
S12000005,2017,All,All,All,All,All,White,All,0.445
S12000005,2017,All,All,All,All,Pensioners,All,All,0.575
S12000005,2017,All,All,All,All,With Children,All,All,0.44999999999999996
S12000005,2017,All,All,All,Owned Mortgage/Loan,All,All,All,0.42000000000000004
S12000005,2017,All,All,All,Owned Outright,All,All,All,0.58
S12000005,2017,All,All,All,Social Rented,All,All,All,0.415
S12000005,2017,All,Urban,All,All,All,All,All,0.42000000000000004
S12000005,2017,Female,All,All,All,All,All,All,0.505
S12000005,2017,Male,All,All,All,All,All,All,0.39
