feature_code,year,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace,score
S12000005,2013,All,All,20% most deprived,All,All,All,All,0.46
S12000005,2013,All,All,80% least deprived,All,All,All,All,0.685
S12000005,2013,All,All,All,All,Adults,All,All,0.61
S12000005,2013,All,All,All,All,All,All,All,0.63
S12000005,2013,All,All,All,All,All,All,Less than 10 minutes,0.635
S12000005,2013,All,All,All,All,All,White,All,0.625
S12000005,2013,All,All,All,All,Pensioners,All,All,0.74
S12000005,2013,All,All,All,All,With Children,All,All,0.5700000000000001
S12000005,2013,All,All,All,Owned Mortgage/Loan,All,All,All,0.665
S12000005,2013,All,All,All,Owned Outright,All,All,All,0.74
S12000005,2013,All,All,All,Social Rented,All,All,All,0.46
S12000005,2013,All,Urban,All,All,All,All,All,0.595
S12000005,2013,Female,All,All,All,All,All,All,0.64
S12000005,2013,Male,All,All,All,All,All,All,0.605
S12000005,2014,All,All,20% most deprived,All,All,All,All,0.5700000000000001
S12000005,2014,All,All,80% least deprived,All,All,All,All,0.725
S12000005,2014,All,All,All,All,Adults,All,All,0.61
S12000005,2014,All,All,All,All,All,All,All,0.675
S12000005,2014,All,All,All,All,All,All,Less than 10 minutes,0.675
S12000005,2014,All,All,All,All,All,White,All,0.6699999999999999
S12000005,2014,All,All,All,All,Pensioners,All,All,0.75
S12000005,2014,All,All,All,All,With Children,All,All,0.6900000000000001
S12000005,2014,All,All,All,Owned Mortgage/Loan,All,All,All,0.745
S12000005,2014,All,All,All,Owned Outright,All,All,All,0.75
S12000005,2014,All,All,All,Social Rented,All,All,All,0.5650000000000001
S12000005,2014,All,Urban,All,All,All,All,All,0.645
S12000005,2014,Female,All,All,All,All,All,All,0.7
S12000005,2014,Male,All,All,All,All,All,All,0.66
S12000005,2015,All,All,20% most deprived,All,All,All,All,0.565
S12000005,2015,All,All,80% least deprived,All,All,All,All,0.66
S12000005,2015,All,All,All,All,Adults,All,All,0.645
S12000005,2015,All,All,All,All,All,All,All,0.64
S12000005,2015,All,All,All,All,All,All,Less than 10 minutes,0.645
S12000005,2015,All,All,All,All,All,White,All,0.64
S12000005,2015,All,All,All,All,Pensioners,All,All,0.7799999999999999
S12000005,2015,All,All,All,All,With Children,All,All,0.53
S12000005,2015,All,All,All,Owned Mortgage/Loan,All,All,All,0.53
S12000005,2015,All,All,All,Owned Outright,All,All,All,0.77
S12000005,2015,All,All,All,Social Rented,All,All,All,0.6050000000000001
S12000005,2015,All,Urban,All,All,All,All,All,0.625
S12000005,2015,Female,All,All,All,All,All,All,0.705
S12000005,2015,Male,All,All,All,All,All,All,0.58
S12000005,2016,All,All,20% most deprived,All,All,All,All,0.475
S12000005,2016,All,All,80% least deprived,All,All,All,All,0.75
S12000005,2016,All,All,All,All,Adults,All,All,0.665
S12000005,2016,All,All,All,All,All,All,All,0.695
S12000005,2016,All,All,All,All,All,All,Less than 10 minutes,0.7
S12000005,2016,All,All,All,All,All,White,All,0.695
S12000005,2016,All,All,All,All,Pensioners,All,All,0.77
S12000005,2016,All,All,All,All,With Children,All,All,0.66
S12000005,2016,All,All,All,Owned Mortgage/Loan,All,All,All,0.7649999999999999
S12000005,2016,All,All,All,Owned Outright,All,All,All,0.7649999999999999
S12000005,2016,All,All,All,Social Rented,All,All,All,0.48
S12000005,2016,All,Urban,All,All,All,All,All,0.65
S12000005,2016,Female,All,All,All,All,All,All,0.76
S12000005,2016,Male,All,All,All,All,All,All,0.62
S12000005,2017,All,All,20% most deprived,All,All,All,All,0.47500000000000003
S12000005,2017,All,All,80% least deprived,All,All,All,All,0.7100000000000001
S12000005,2017,All,All,All,All,Adults,All,All,0.645
S12000005,2017,All,All,All,All,All,All,All,0.665
S12000005,2017,All,All,All,All,All,All,Less than 10 minutes,0.66
S12000005,2017,All,All,All,All,All,White,All,0.655
S12000005,2017,All,All,All,All,Pensioners,All,All,0.735
S12000005,2017,All,All,All,All,With Children,All,All,0.595
S12000005,2017,All,All,All,Owned Mortgage/Loan,All,All,All,0.66
S12000005,2017,All,All,All,Owned Outright,All,All,All,0.785
S12000005,2017,All,All,All,Social Rented,All,All,All,0.48000000000000004
S12000005,2017,All,Urban,All,All,All,All,All,0.62
S12000005,2017,Female,All,All,All,All,All,All,0.665
S12000005,2017,Male,All,All,All,All,All,All,0.655
S12000005,2018,All,All,20% most deprived,All,All,All,All,0.525
S12000005,2018,All,All,80% least deprived,All,All,All,All,0.79
S12000005,2018,All,All,All,All,Adults,All,All,0.7200000000000001
S12000005,2018,All,All,All,All,All,All,All,0.7350000000000001
S12000005,2018,All,All,All,All,All,All,Less than 10 minutes,0.7300000000000001
S12000005,2018,All,All,All,All,All,White,All,0.725
S12000005,2018,All,All,All,All,Pensioners,All,All,0.775
S12000005,2018,All,All,All,Owned Outright,All,All,All,0.85
S12000005,2018,All,All,All,Social Rented,All,All,All,0.615
S12000005,2018,All,Urban,All,All,All,All,All,0.7100000000000001
S12000005,2018,Female,All,All,All,All,All,All,0.7100000000000001
S12000005,2018,Male,All,All,All,All,All,All,0.74
S12000005,2019,All,All,20% most deprived,All,All,All,All,0.39499999999999996
S12000005,2019,All,All,80% least deprived,All,All,All,All,0.79
S12000005,2019,All,All,All,All,Adults,All,All,0.64
S12000005,2019,All,All,All,All,All,All,All,0.685
S12000005,2019,All,All,All,All,All,All,Less than 10 minutes,0.69
S12000005,2019,All,All,All,All,All,White,All,0.665
S12000005,2019,All,All,All,All,Pensioners,All,All,0.77
S12000005,2019,All,All,All,Owned Mortgage/Loan,All,All,All,0.755
S12000005,2019,All,All,All,Owned Outright,All,All,All,0.735
S12000005,2019,All,All,All,Social Rented,All,All,All,0.5800000000000001
S12000005,2019,All,Urban,All,All,All,All,All,0.645
S12000005,2019,Female,All,All,All,All,All,All,0.63
S12000005,2019,Male,All,All,All,All,All,All,0.73
S12000006,2013,All,All,80% least deprived,All,All,All,All,0.79
S12000006,2013,All,All,All,All,Adults,All,All,0.775
S12000006,2013,All,All,All,All,All,All,All,0.745
S12000006,2013,All,All,All,All,All,All,Less than 10 minutes,0.74
S12000006,2013,All,All,All,All,All,White,All,0.745
